14647895,24,67,715,2097,14330,43142,749086,6014331,0,1381933,5335705,0,1022547,54794,23454,3671,1627,265,107,
4054551,10,19,196,597,4161,11733,206128,1649197,0,386521,1484946,0,287496,15036,6858,1052,499,76,26,
2744891,6,10,143,374,2784,7796,135641,1103687,6514,264014,1010182,3329,194177,10301,4775,732,348,57,21,
1362576,3,9,65,197,1375,3795,66440,525672,27579,127577,491176,13850,96663,5174,2407,389,171,26,8,
993280,5,4,40,148,1130,3195,52106,372066,29252,91459,343735,17880,74885,4643,2220,317,154,26,15,
474594,0,3,33,105,746,1927,24714,176361,14681,43535,162000,9642,35951,2816,1641,323,99,9,8,
356406,0,2,30,138,731,1644,18046,132546,10978,33269,119798,7329,27257,2488,1648,404,90,5,3,
160105,1,0,13,71,376,859,8061,59060,4946,15058,53718,3537,11878,1223,968,269,60,5,2,
124814,0,1,11,75,340,748,6074,45857,3761,11958,42093,2669,9093,968,858,252,47,6,3,
50257,0,0,7,24,137,263,2348,18516,1519,4924,17029,1111,3502,355,373,119,26,3,1,
41021,0,1,5,24,116,220,1858,15202,1233,4160,13696,929,2865,290,314,87,19,2,0,
14182,0,0,1,10,35,69,628,5170,457,1445,4879,313,929,95,100,44,6,1,0,
12582,0,0,4,5,41,76,512,4591,381,1298,4319,289,811,100,113,33,9,0,0,
3731,0,0,0,0,8,24,121,1329,93,410,1357,83,234,17,41,9,3,2,0,
3371,0,0,0,3,7,17,111,1253,106,344,1155,74,239,19,27,11,5,0,0,
