401125676,17900858,693,1908,16897,50018,342843,1025564,17774214,160168725,18891366,33356633,125519928,24108166,1288860,545159,88098,37539,5767,2440,
95566741,4550617,177,437,4147,11471,82810,235953,4113855,37568130,5093204,7987322,29694526,5746705,306056,137891,21354,9911,1513,662,
65384810,3254120,149,313,2912,7595,55226,156522,2745417,25304254,3874803,5589187,20183540,3885485,206899,95705,14175,6985,1028,495,
32655695,1742072,68,166,1390,3709,27751,77069,1393495,12278776,1852474,3358469,9825681,1930178,104199,48784,7127,3486,528,273,
23889827,1275476,53,107,1081,3175,23695,65057,1077713,8770773,1305106,2769032,6951135,1497439,93868,45683,6982,2835,384,233,
11511671,625607,24,52,616,2388,15723,39124,510126,4194276,638959,1374834,3290758,718997,57485,33760,6833,1791,208,110,
8699647,486631,24,50,549,2581,15093,35172,380533,3157099,487097,1053367,2440565,543609,51534,35202,8492,1769,194,86,
3936358,229161,9,9,279,1489,8303,17421,166307,1421411,222752,484745,1094159,239000,24358,20108,5572,1127,106,42,
3074824,182556,3,18,236,1374,6703,13436,125751,1106796,174189,384050,856202,181708,18552,16875,5223,1031,84,37,
1253868,77441,3,10,78,600,2692,5303,48181,449419,71504,160198,349370,71798,7281,7037,2387,505,48,13,
1022654,64642,3,4,73,473,2189,4302,38208,364379,58838,132458,284853,57678,6120,5965,1986,428,41,14,
364836,23812,0,2,28,177,831,1516,12964,129586,20886,48546,101329,19765,2210,2249,730,182,20,3,
314571,20776,0,2,25,150,710,1242,10811,111489,18328,42419,87393,16525,1886,1996,668,142,8,1,
95772,6696,0,1,5,51,224,376,3158,33526,5488,13278,26528,4889,579,681,236,51,4,1,
142651,10155,0,0,10,64,285,523,4320,49955,8282,20294,39585,6940,830,984,329,83,9,3,
